artist_name,track_name,track_uri,acousticness,danceability,energy,valence,instrumentalness,key,mode,liveness,speechiness,time_signature,tempo,loudness,lyrics
Angus Stone,bird on the buffalo,5QQowJXY9iyA5dcxBJmJiz,0.0032700000000000003,0.733,0.722,0.8640000000000001,0.7929999999999999,10.0,0.0,0.0881,0.0257,4.0,115.533,-8.716000000000001,change rain watchtower whisper sleep stick dream shoot baby arrow wind wound cut bent scar lose love break stormy weather bird buffalo bird buffalo change rain lighthouse whisper sleep awake dream shoot baby arrow wind bird buffalo bird buffalo bird buffalo bird buffalo bird bird buffalo
Chuuwee,radical,5DAGwexpPwsWCgOE6nFmba,0.0825,0.5770000000000001,0.923,0.486,0.0,10.0,0.0,0.274,0.361,4.0,128.886,-5.5829999999999975,verse american american apparel barrel shit barely wear materialistic deep underwear humble bug deep skin lonely hurt scare eat head crooked fuckin player oopp attitude fuckin care crab barrel angry sterile mad fuck yea yea true chu bitch damn fun fuck aggravate love love game hate player listen shit tryna shit fuckin hear fucking bitch fucking square loose play victim kick foot talk bout fair break bottle break chair saris hook radical slice tire mad radical bad bitch bad attitude radical radical sporadic drink irrational verse dat bitch scared loud square fucking stereo type american yea straight fucking tale devil minion lair speak analogy fuck mayor head damn kinda yea challenge pull hair tia tamera drive porsche panamera eat panera bread frequently time fuck attentive hear play care figure cheer musketeer poke flee scene bitch davis eat chill weird roll chandelier light roof shit cheer cheer chrous bitch radical love attitude radica mad radical shit rattle baffle hang nut tassle verse american weave human hair ear bitch care talk disappear kuz talk lose head fuckin idea fuckin tryin raise fuckin kid add stuff damn ungrateful grant live glad kid rib life callin bitch bitch fuckin goofy common cent kuz talkin shit exist day wake feel sick trick dick feel neyo sick super luscious super illustrious shit bitch chrous
Dark Synergy,shadows,5Daiy54EOq3ARIeBp61UId,8.44e-05,0.428,0.7190000000000001,0.512,0.662,6.0,1.0,0.362,0.0407,4.0,135.361,-4.552,shadow fade darkness fade yeah shadow night hour shadow fade shadow fade darkness yeah fade dark fade darkness yeah fade dark shadow
Angry Johnny and the Killbillies,charlie,015OanN5xpCXWPhKkEFqhK,0.208,0.5720000000000001,0.343,0.534,2.15e-05,4.0,0.0,0.297,0.0378,4.0,106.925,-11.998,charlie chainsaw pickle jar formaldehyde tonight ride rose poem write win samantha heart tonight charlie poulan start sittin oil sludge yankin cord night goddamn budge samantha walk night leave tomorrow morning late spark plug gas siphon daddy truck poulan win cooperate charlie luck samantha whistle walk street pull poulan true love roll foot charlie samantha twist modern tale samantha pickle jar charlie grow jail true love crazy handle poulan rusty cut piece wood yeah poulan rusty cut piece wood
David Zowie,house every weekend - radio edit,37Lp74HWYnHunF7BbHAGSb,0.324,0.7909999999999999,0.574,0.406,0.0,0.0,0.0,0.102,0.0673,4.0,122.053,-7.061,house weekend house weekend house weekend house weekend house weekend house weekend house weekend house weekend love fake stay house weekend hard explode explode explode explode explode explode explode explode house weekend house weekend house weekend hard house weekend house weekend house weekend hard stay house weekend house weekend house weekend house weekend house weekend house weekend explode explode
Grace Potter,delirious,4JExsmaJwWInh2uglTeEsT,0.016,0.679,0.7070000000000001,0.27,7.01e-05,0.0,1.0,0.0744,0.0454,4.0,124.978,-6.039,sleep resist street light persistent dark city hey hey awake magic day break wan sleep mysterious love feel delirious delirious day night day delirious day night day delirious close eye wait life sleep love feel delirious delirious day night day delirious day night day delirious gon fall twisted slide deep override mind delirious delirious day night day delirious day night day delirious day night day delirious day night delirious
Floetry,"opera - live at the house of blues, new orleans / 2003",6sYwKn5PX8IU01zM0khppm,0.0848,0.416,0.91,0.52,0.0,5.0,0.0,0.899,0.243,4.0,96.508,-3.953,listen meet guy mad moment explain listen write fairy tale live castle tight hansel gretal grow settle town tighten marry day love everyday stay tonight hold tight love bite share soul pick roll lose control break forget insert time night morning crack habit feene grin money win feel purer singe real singe kinda opera shit whisper ear promise ummm crown king throne stripe tonight morning talk beat dawning chill time barrier whisper proper game london lace sense shit intense kinda break role freaky stave belt gon lie feel universe leave singe opera cleopatra madam butterfly shit bring tear eye lie ignore grab happy minute true opera supposse happen foot tappin voice breakin carve karma sutra diagram headboard ignore buzzer time hard lie surprise myslef conniving dove survival christen tree grow cloud spit snow lay kiss chest zorro hide clothe play fight child clash titan weight lose slum village album repeat knockin boot hip hop beat reach maximum sleep singe real lie listen gon break truth goose pimple shit voice hear voice answer phone listen split split business hit opera gon minute
Dyablo,resurekxion,2zmUCTXz12zFZcrl37yyRE,0.152,0.85,0.8079999999999999,0.7759999999999999,0.0,11.0,0.0,0.0803,0.0785,4.0,91.025,-6.2570000000000014,ahora sabe huye profeta brete voy explicarte juego vida enemigos sonren mira actitud cambia acuerdo cada situacin muerto siete meses resurekxin revolucin confusin congregacin evolucin apao quiebro arranco alma destruccin ahora sabe perfectamente solo peor peor mejor peor hoy mas podrn quitarle alma soldado pue vivir vida eternamente futuro llegado sentado discpulo armado correrle dejo desangrado talvez vida infierno morimo vamos ver presumen enemigos ven carne viva corren pue teman frente presumen pue dinero fama sabe represento latinos cesar chvez atraviese ruta mejor clave historia aqu termina sabe coro ahora sabe huye indestructible brete voy siete mese muerto ahora regresado profeca cumplido tiempo llegado profecas felonas pensaste tenas cuete quiebra diente entra boca ojos lloran derrota alma explota mientras cuerpo bien fro alma baldo cuerpo vaco vida termina seguida profeca sigue continua celebran muerte bebiendo kala dinasta profeta siempre continua vida eterna indestructible efecta cualquier castigo pinches putos copiadores estilos palabras perros creador estilos palabras modo crea estilo mismo sabe jodo tiempo ensearle mundo hispanos soberanos tambin rifamos enfrente plomazo tumbamos revolucin causamos mexicanos coro ahora sabe huye indestructible brete voy siete mese muerto ahora regresado profeca cumplido tiempo llegado sigo mexicano duro matar brete lado tocar versos truenan cascos crneos escopeta jess diablo apodo profeta catastro feo causo reta exposicin mundial reconocido planeta boca escupe balas dejo volar corto alas vale nunca ganas cuido espalda horas semana pue descuido vida acaba muerte inevitable nico seguro pue cada paso conmigo juro naces siempre terminas pue lado siquiera miras llaga pronto imaginas acabo bien pronto misericordia alma quito aqu reviento aqu terminas coro ahora sabe huye indestructible brete voy siete mese muerto ahora regresado profeca cumplido tiempo llegado
Corrosion Of Conformity,what?,5WeeAFFMQ8ommvFmT7yS9a,0.00034700000000000003,0.0989,0.996,0.0396,0.0119,11.0,0.0,0.0795,0.373,4.0,198.122,-5.324,deafness silence wait loud wide loud win learn burn burn hearing jar brain learn burn threshold pain brink unaware care loud idea comprehend unaware care
Confederate Railroad,see ya,1USL3QkPaPlSeGMH7SVgHc,0.0434,0.524,0.362,0.239,8.65e-05,4.0,1.0,0.104,0.0279,4.0,72.315,-13.987,guess read warning sign leavin cross mind chorus stand shoe watch walk late hard boy stand door chance start chorus
